Feature,Feature_Value,SHAP_Value,Abs_SHAP_Value,Direction,Rank
Relative_Volume_20D,2.552579873353052,-0.3758752391837096,0.3758752391837096,toward_class_0,1
Daily_Range,0.0565350509783257,-0.3085763799878589,0.3085763799878589,toward_class_0,2
Stock_vs_QQQ_5D,0.0131699081682603,-0.3006238850551817,0.3006238850551817,toward_class_0,3
Stock_vs_QQQ_1D,0.0149874967183665,-0.20249989249321326,0.20249989249321326,toward_class_0,4
QQQ_Volatility_14D,0.0126296699840434,-0.17258938209195654,0.17258938209195654,toward_class_0,5
QQQ_Log_Return_3D,0.0365595461184421,-0.14131901216519754,0.14131901216519754,toward_class_0,6
Sentiment_Momentum_3,0.0553015201953507,-0.11911169799166717,0.11911169799166717,toward_class_0,7
Volatility_14D,0.025267110762422,-0.10268731216725845,0.10268731216725845,toward_class_0,8
QQQ_Log_Return_1D,0.0268007987081907,-0.10214947497741657,0.10214947497741657,toward_class_0,9
Price_to_SMA20,0.0178128021583101,-0.06168394501686072,0.06168394501686072,toward_class_0,10
Ticker,QCOM,-0.047458672885964844,0.047458672885964844,toward_class_0,11
Stock_vs_QQQ_3D,0.0090937555376975,-0.025597180691968157,0.025597180691968157,toward_class_0,12
Has_Event_Buyback,1,0.0250506748491166,0.0250506748491166,toward_class_1,13
Has_Item_1_01,0,-0.021412028808568427,0.021412028808568427,toward_class_0,14
RSI_14,54.71046924628197,-0.018146363864707974,0.018146363864707974,toward_class_0,15
Has_Item_7_01,0,-0.013284211541603362,0.013284211541603362,toward_class_0,16
Intraday_Return,0.0220975213776311,0.009859936866859906,0.009859936866859906,toward_class_1,17
Has_Item_2_02,1,-0.008178661404782768,0.008178661404782768,toward_class_0,18
Mean_Net_Sentiment,0.2297131946316158,-0.007931609726592927,0.007931609726592927,toward_class_0,19
Has_Item_8_01,0,0.007395266043333407,0.007395266043333407,toward_class_1,20
Has_EX99,1,-0.005845056281581848,0.005845056281581848,toward_class_0,21
Has_Item_5_03,0,-0.003007765204080641,0.003007765204080641,toward_class_0,22
Has_Event_Guidance,0,-0.0026080251568975587,0.0026080251568975587,toward_class_0,23
QQQ_Log_Return_5D,0.0183644562616912,-0.0018166592662542808,0.0018166592662542808,toward_class_0,24
Has_Item_5_02,0,0.0017056900096826151,0.0017056900096826151,toward_class_1,25
Has_Sentiment_History,1,-0.0012209639371740782,0.0012209639371740782,toward_class_0,26
Has_Event_Earnings,1,0.0,0.0,neutral,27
Has_Item_2_03,0,0.0,0.0,neutral,28
Has_Item_2_01,0,0.0,0.0,neutral,29
Has_Item_1_02,0,0.0,0.0,neutral,30
Has_Item_5_07,0,0.0,0.0,neutral,31
