Feature,Model_Input_Value,IG_Value,Abs_IG_Value
Ticker_AMD,1.0,-0.12034928,0.12034928
Has_EX99,1.0,-0.088661596,0.088661596
Has_Item_2_02,1.0,-0.05662545,0.05662545
Has_Event_Earnings,1.0,-0.035024107,0.035024107
Has_Sentiment_History,1.0,-0.034760095,0.034760095
Mean_Net_Sentiment,1.3777198,-0.02261257,0.02261257
Has_Event_Guidance,1.0,0.021071771,0.021071771
Has_Item_7_01,1.0,0.010548943,0.010548943
Sentiment_Momentum_3,0.4675216,0.0067491136,0.0067491136
Ticker_GOOGL,0.0,-0.0,0.0
Ticker_ADBE,0.0,0.0,0.0
Ticker_AMZN,0.0,-0.0,0.0
Ticker_AVGO,0.0,-0.0,0.0
Ticker_AAPL,0.0,0.0,0.0
Ticker_TSLA,0.0,-0.0,0.0
Ticker_QCOM,0.0,0.0,0.0
Ticker_NVDA,0.0,0.0,0.0
Ticker_NFLX,0.0,0.0,0.0
Ticker_META,0.0,-0.0,0.0
Ticker_MSFT,0.0,0.0,0.0
Ticker_INTC,0.0,-0.0,0.0
Has_Event_Buyback,0.0,-0.0,0.0
Has_Item_2_03,0.0,0.0,0.0
Has_Item_2_01,0.0,-0.0,0.0
Has_Item_1_02,0.0,-0.0,0.0
Has_Item_1_01,0.0,0.0,0.0
Has_Item_5_07,0.0,-0.0,0.0
Has_Item_5_03,0.0,0.0,0.0
Has_Item_5_02,0.0,0.0,0.0
Has_Item_8_01,0.0,0.0,0.0
