Feature,Feature_Value_Model_Input,Explain_Weight,Mask_Step_1,Mask_Step_2,Mask_Step_3,Mask_Step_4,Abs_Explain_Weight,Rank
market__Stock_vs_QQQ_1D,9.667276,0.25452209437430273,0.0,0.03015928901731968,0.38559532165527344,0.0,0.25452209437430273,1
market__Intraday_Return,-1.6623513,0.2082389566559162,0.0,0.0,0.3213590085506439,0.0,0.2082389566559162,2
binary__Has_Event_Buyback,0.0,0.18989204459301656,0.0,0.0,0.29304563999176025,0.0,0.18989204459301656,3
ticker__Ticker_INTC,1.0,0.10676062386564802,0.0,0.003950605634599924,0.0,0.7490190267562866,0.10676062386564802,4
binary__Has_Item_2_01,0.0,0.031093166226630716,0.5569429397583008,0.0,0.0,0.0,0.031093166226630716,5
ticker__Ticker_MSFT,0.0,0.02923612060107406,0.0,0.0,0.0,0.20629604160785675,0.02923612060107406,6
market__Daily_Range,1.9608374,0.024048475933642812,0.0,0.15569615364074707,0.0,0.0,0.024048475933642812,7
binary__Has_Item_2_02,0.0,0.02401347160331453,0.0,0.15546952188014984,0.0,0.0,0.02401347160331453,8
binary__Has_EX99,1.0,0.023763211395022837,0.41011902689933777,0.005613001529127359,0.0,0.0,0.023763211395022837,9
market__Price_to_SMA20,3.2403295,0.02043331724584135,0.0,0.13229066133499146,0.0,0.0,0.02043331724584135,10
binary__Has_Event_Guidance,0.0,0.018848901976853585,0.0,0.12203274667263031,0.0,0.0,0.018848901976853585,11
market__Stock_vs_QQQ_3D,6.184617,0.011176972969992162,0.0,0.07236266136169434,0.0,0.0,0.011176972969992162,12
ticker__Ticker_TSLA,0.0,0.010789205528314144,0.0,0.06985215097665787,0.0,0.0,0.010789205528314144,13
binary__Has_Item_2_03,0.0,0.008483938446111224,0.0,0.05492724850773811,0.0,0.0,0.008483938446111224,14
binary__Has_Item_5_07,0.0,0.006332708622226022,0.0,0.0,0.0,0.04468488320708275,0.006332708622226022,15
sentiment__Sentiment_Momentum_3,0.91379637,0.005039544746482612,0.0,0.03262733668088913,0.0,0.0,0.005039544746482612,16
binary__Has_Item_1_02,0.0,0.0049883693913238695,0.00011828996503027156,0.03225325793027878,0.0,0.0,0.0049883693913238695,17
ticker__Ticker_NFLX,0.0,0.004850352785583381,0.0,0.031402457505464554,0.0,0.0,0.004850352785583381,18
ticker__Ticker_AVGO,0.0,0.003751401410690281,0.0,0.02428755722939968,0.0,0.0,0.003751401410690281,19
binary__Has_Item_1_01,0.0,0.0032948927316329263,0.0,0.02133200131356716,0.0,0.0,0.0032948927316329263,20
ticker__Ticker_AAPL,0.0,0.0022663832933802765,0.0,0.014673160389065742,0.0,0.0,0.0022663832933802765,21
binary__Has_Sentiment_History,1.0,0.002263159028274991,0.031480804085731506,0.0032736454159021378,0.0,0.0,0.002263159028274991,22
market__Stock_vs_QQQ_5D,4.570107,0.0021731963701219492,0.0,0.014069844037294388,0.0,0.0,0.0021731963701219492,23
ticker__Ticker_QCOM,0.0,0.0015129392955454393,0.0,0.009795166552066803,0.0,0.0,0.0015129392955454393,24
market__QQQ_Log_Return_1D,0.46808648,0.0011962107283024763,0.0,0.007744582369923592,0.0,0.0,0.0011962107283024763,25
market__RSI_14,2.0922198,0.0009462087561381541,0.0,0.00612600427120924,0.0,0.0,0.0009462087561381541,26
market__Relative_Volume_20D,8.666603,7.473684172093447e-05,0.0013386914506554604,0.0,0.0,0.0,7.473684172093447e-05,27
ticker__Ticker_AMD,0.0,9.394582895708257e-06,0.0,6.082300023990683e-05,0.0,0.0,9.394582895708257e-06,28
market__Volatility_14D,2.182112,0.0,0.0,0.0,0.0,0.0,0.0,29
market__QQQ_Log_Return_3D,0.19651933,0.0,0.0,0.0,0.0,0.0,0.0,30
ticker__Ticker_AMZN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31
ticker__Ticker_ADBE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32
market__QQQ_Volatility_14D,-0.9950617,0.0,0.0,0.0,0.0,0.0,0.0,33
ticker__Ticker_GOOGL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34
market__QQQ_Log_Return_5D,0.50797576,0.0,0.0,0.0,0.0,0.0,0.0,35
ticker__Ticker_NVDA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36
ticker__Ticker_META,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37
binary__Has_Event_Earnings,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38
binary__Has_Item_5_02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39
binary__Has_Item_7_01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,40
binary__Has_Item_5_03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41
binary__Has_Item_8_01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42
sentiment__Mean_Net_Sentiment,0.12952733,0.0,0.0,0.0,0.0,0.0,0.0,43
