Variant,Feature,Mean_BA_Drop,Std_BA_Drop_Across_Folds,Mean_AUC_Drop,Std_AUC_Drop_Across_Folds,Positive_BA_Folds,Positive_AUC_Folds,N_Folds,Presence_Rate,Positive_AUC_Rate,Positive_BA_Rate
B,Has_EX99,0.00944680377877012,0.014821791916205715,0.003328393615198021,0.008060599631353242,3,3,4,1.0,0.75,0.75
B,Has_Item_7_01,0.00038278126393261915,0.0034774866263720854,0.0019478681271662872,0.00405668784636621,2,2,4,1.0,0.5,0.5
B,Has_Item_2_02,0.0030482592184600844,0.008180202956893099,0.0016569229986744616,0.0032108840819452277,2,2,4,1.0,0.5,0.5
B,Has_Item_8_01,0.0009715007215007127,0.002493050607843069,0.0010436765615337166,0.0023105951223768052,2,2,4,1.0,0.5,0.5
B,Volatility_14D,0.012369856048920599,0.010290683410168262,0.00047577538106504617,0.024607822623951794,3,2,4,1.0,0.5,0.75
B,Has_Item_1_01,-0.00033994773913794627,0.0007136814252421841,0.00036207315576864367,0.0005022157004707135,1,2,4,1.0,0.5,0.25
B,Has_Event_Earnings,0.0012130230880230556,0.006766056283422224,0.00035621521335808755,0.0015691331578809838,1,2,4,1.0,0.5,0.25
B,Has_Item_5_07,0.00038682745825602467,0.0007736549165120493,8.62708719851571e-05,0.0001725417439703142,1,1,4,1.0,0.25,0.25
B,Has_Event_Buyback,0.0,0.0,0.0,0.0,0,0,4,1.0,0.0,0.0
B,Has_Item_1_02,0.0,0.0,0.0,0.0,0,0,4,1.0,0.0,0.0
B,Has_Item_2_01,0.0,0.0,0.0,0.0,0,0,3,0.75,0.0,0.0
B,Has_Item_2_03,0.0,0.0,0.0,0.0,0,0,4,1.0,0.0,0.0
B,Has_Item_5_03,0.0,0.0,0.0,0.0,0,0,4,1.0,0.0,0.0
B,Has_Item_5_02,0.0011447510822510823,0.0019229686989778339,-0.000282718769325915,0.0023687373779880663,2,1,4,1.0,0.25,0.5
B,Has_Event_Guidance,0.002854569289837124,0.008197855409038085,-0.0013908201692410483,0.0013311064364511078,2,0,4,1.0,0.0,0.5
B,Ticker,0.0018619713576498147,0.015605974135980442,-0.001777182682005159,0.005990436400364736,2,1,4,1.0,0.25,0.5
B,Relative_Volume_20D,-0.007382024781811965,0.003049096734795501,-0.0022006260771574235,0.02991122162332012,0,3,4,1.0,0.75,0.0
B,QQQ_Log_Return_5D,0.003692289961042535,0.014246219105721776,-0.004564003788178403,0.01026415631812243,3,1,4,1.0,0.25,0.75
B,Stock_vs_QQQ_1D,-0.0006476239764757383,0.026166699590641412,-0.006869221009184143,0.0208985612333402,3,1,4,1.0,0.25,0.75
B,RSI_14,-0.0006438295808104955,0.02810382699931268,-0.007965163994597131,0.021905845267554683,2,2,4,1.0,0.5,0.5
B,Stock_vs_QQQ_3D,0.0002140661629345007,0.0178442901815389,-0.008350872628605692,0.020678825599719796,1,2,4,1.0,0.5,0.25
B,Intraday_Return,-0.0004460402179723333,0.020978568789353357,-0.010535027785118618,0.004979360172817031,2,0,4,1.0,0.0,0.5
B,QQQ_Volatility_14D,-0.004947207694080122,0.004445875929407116,-0.015902138636902957,0.013593045234413402,0,1,4,1.0,0.25,0.0
C,Sentiment_Momentum_3,0.008388892166054221,0.03380119426471747,0.017792827738256998,0.01006863381297992,3,4,4,1.0,1.0,0.75
C,QQQ_Log_Return_3D,0.017709259516438713,0.043297851316682116,0.015261540959098535,0.021571007698359256,3,4,4,1.0,1.0,0.75
C,Price_to_SMA20,0.0014996132383097664,0.04216690537321684,0.0137907677870302,0.035528154674073595,2,2,4,1.0,0.5,0.5
C,Stock_vs_QQQ_5D,0.0077477731193340525,0.025641215941040636,0.01200727822841606,0.025567424252774123,2,3,4,1.0,0.75,0.5
C,QQQ_Log_Return_1D,0.006798914988608195,0.04817315014215057,0.00941296043611238,0.01873847676451875,2,2,4,1.0,0.5,0.5
C,Daily_Range,0.0011145457114752136,0.03550587803003681,0.0061336189823004185,0.0219391621154155,2,2,4,1.0,0.5,0.5
C,Volatility_14D,0.0018331517034667864,0.025242062965964686,0.005976160532262546,0.013468048564083016,3,3,4,1.0,0.75,0.75
C,Stock_vs_QQQ_1D,0.006316765989121146,0.028298671497618465,0.004013124279398112,0.016913769983746985,3,3,4,1.0,0.75,0.75
C,Has_EX99,0.0024293341092162576,0.009166757123120683,0.003462879492001131,0.004422837499879034,3,4,4,1.0,1.0,0.75
C,Mean_Net_Sentiment,0.009093455036392629,0.028664715587283156,0.003134277318000802,0.013123846344801722,3,3,4,1.0,0.75,0.75
C,Has_Item_8_01,0.0013710317460317511,0.008682721712073982,0.0014518140589568854,0.002177064098880165,1,3,4,1.0,0.75,0.25
C,QQQ_Log_Return_5D,-0.0009665964716577321,0.022853942514081294,0.0013365572775092711,0.0056665727346519035,2,3,4,1.0,0.75,0.5
C,Has_Event_Earnings,-0.0003203463203463222,0.0006406926406926444,0.0011753246753246674,0.002350649350649335,0,1,4,1.0,0.25,0.0
C,Has_Event_Guidance,-0.0005918560606060542,0.005831434473016511,0.0004394173664444349,0.0004530180156521445,1,3,4,1.0,0.75,0.25
C,Has_Item_1_01,0.0003919294990723582,0.0007838589981447164,0.00022159545966905976,0.0002562297326139345,1,2,4,1.0,0.5,0.25
C,Has_Item_5_02,0.0029414424860853515,0.01201366868870928,0.00012413033395174394,0.0019113296309628922,1,1,4,1.0,0.25,0.25
C,Has_Item_7_01,0.0005938079777365537,0.002155300046952952,0.00011408085961655016,0.0008570092952369138,1,1,4,1.0,0.25,0.25
C,Relative_Volume_20D,0.0019617449186334008,0.033582687022954735,9.290808686049021e-05,0.030530015140973223,3,2,4,1.0,0.5,0.75
C,Has_Event_Buyback,0.0,0.0,0.0,0.0,0,0,4,1.0,0.0,0.0
C,Has_Item_1_02,0.0,0.0,0.0,0.0,0,0,4,1.0,0.0,0.0
C,Has_Item_2_01,0.0,0.0,0.0,0.0,0,0,3,0.75,0.0,0.0
C,Has_Item_2_03,0.0,0.0,0.0,0.0,0,0,4,1.0,0.0,0.0
C,Has_Item_5_03,0.0,0.0,0.0,0.0,0,0,4,1.0,0.0,0.0
C,Has_Item_5_07,0.0,0.0,0.0,0.0,0,0,4,1.0,0.0,0.0
C,Has_Sentiment_History,0.0,0.0,0.0,0.0,0,0,4,1.0,0.0,0.0
C,Has_Item_2_02,-0.0009069264069264032,0.0019369621813763445,-0.0012673675530818435,0.0026239855867138786,1,1,4,1.0,0.25,0.25
C,Ticker,-0.0008540826214206657,0.013453173562216687,-0.002386904087745074,0.004667738398157007,1,1,4,1.0,0.25,0.25
C,RSI_14,-0.005814542217080634,0.04248684852508255,-0.005586646004420135,0.02496721304213339,2,2,4,1.0,0.5,0.5
C,QQQ_Volatility_14D,0.0032116884015762678,0.035744840509246575,-0.005869399867505184,0.021385117785870763,2,1,4,1.0,0.25,0.5
C,Stock_vs_QQQ_3D,0.0012554773230645279,0.030867968655441787,-0.007900416795506127,0.013033142396436952,2,1,4,1.0,0.25,0.5
C,Intraday_Return,-0.0044395763183268395,0.02314467532449432,-0.011405825373005128,0.011110588531098779,1,0,4,1.0,0.0,0.25
